국,미역 오이냉국,1그릇,11
찬,오이부추무침,1그릇,47
나물,미나리 나물,1그릇,40
나물,애호박나물,1그릇,52
찬,콩자반,1그릇,28
찬,장조림,1그릇,63
중식,해파리냉채,1그릇,189
찜,달걀찜,1인분,80
찬,어묵조림,1그릇,114
볶음,호박볶음,1그릇,15
찌개,쇠고기 전골,1인분,148
찌개,콩비지찌개,1인분,204
찌개,부대찌개,1인분,343
국,곱창전골,1인분,300
탕,해물탕,1인분,330
밥,불고기 덮밥,1인분,374
탕,감자탕,1인분,455
밥,김밥,1인분,636
찬,잡채,1인분,150
나물,무나물,1인분,30
떡,빈대떡,1인분,320
찬,명란젓,20g,20
찬,게장,1인분,40
찬,불고기,1인분,83
찬,오이피클,100g,48
스프,양송이수프,1인분,117
빵,딸기잼바른식빵,1조각,165
빵,마늘바게트,1조각,200
빵,햄치즈샌드위치,1조각,468
빵,모닝빵,1개,41
빵,프렌치빵,1개,42
빵,카스텔라,1개,160
빵,팥빵,1개,52
빵,초코도넛,1개,281
빵,크루아상,100g,430
빵,생크림케이크,1조각,330
빵,버터크림케이크,1조각,411
빵,파운드케이크,100g,396
빵,슈크림,100g,250
양식,스테이크,1인분,1259
양식,돈까스,1인분,700
샐러드,감자샐러드,1그릇,184
샐러드,타코샐러드,1그릇,325
샐러드,모듬샐러드,1그릇,350
패스트푸드,맥도날드햄버그,1개,256
패스트푸드,맥도날드밀크쉐이크,1컵,293
패스트푸드,웬디스치즈버거,1개,373
패스트푸드,웬디스칠리라지,1개,155
패스트푸드,롯데리아새우버거,1개,444
패스트푸드,KFC치킨,1조각,167
패스트푸드,KFC치킨너겟,5조각,284
패스트푸드,KFC비스킷,1개,288
패스트푸드,KFC콘슬로,1컵,40
패스트푸드,프렌치프라이,1봉지,270
패스트푸드,어니언링,1봉지,265
패스트푸드,치킨샌드위치,1개,492
음료,물,1컵,0
음료,스프라이트,1캔,133
음료,실론티,1캔,30
음료,v-8야채쥬스,1캔,35
음료,갈아만든사과,1캔,130
음료,솔잎차,1캔,0
음료,우롱차,1캔,0
음료,녹차,1잔,0
음료,홍차,1잔,0
음료,구기자차,1잔,10
음료,레몬차,1잔,59
음료,모과차,1잔,20
음료,후르토피아,1병,180
음료,화이브미니,1병,45
음료,수정과,1그릇,267
음료,율무차,1잔,112
음료,아이리시,1잔,150
음료,카푸치노,1잔,95
음료,카페오레,1잔,57
음료,비엔나,1잔,225
음료,네스카페캔커피,1잔,70
음료,포카리스웨트,1캔,44
음료,데미소다,1캔,96
음료,가야토마토농장,180ml,92
음료,가야포도농장,1컵,92
음료,코카콜라,1캔,97
음료,코카콜라라이트,1캔,20
음료,요플레,1개,118
음료,저지방우유,1팩,125
음료,우유,200ml,150
음료,요구르트플레인,1개,76
음료,두유,200ml,92
주류,밀러,1병,96
주류,카프리,1병,60
주류,버드와이져,1병,96
주류,핑크레이디,1잔,130
주류,피나콜라다,1잔,120
주류,선라이즈,1잔,120
아이스크림,과일파르페,1잔,258
아이스크림,쵸코파르페,1잔,263
아이스크림,팥빙수,1그릇,407
아이스크림,배스킨라빈스콘,1개,269
아이스크림,하겐다즈컵,1개,220
아이스크림,프루츠 요거트,1컵,120
아이스크림,구구콘,1개,220
아이스크림,누가바,1개,72
아이스크림,바밤바,1개,95
과자,새우깡,90g,455
과자,치토스,100g,560
과자,조리퐁,1봉지,435
과자,콘칩,65g,545
과자,엑서스,55g,510
과자,스니커즈,60g,290
과자,트윅스,50g,246
과자,포비,32g,150
과자,콘플레인,50g,270
과자,카스타드,1개,235
과자,밀크쵸코릿,50g,256
과자,쵸코볼,50g,243
과자,크런키쵸콜릿,50g,256
과자,캐러멜,1통,247
과자,홀스,1통,154
과자,껌,1개,8
과자,리츠,100g,507
과자,크래커,2조각,60
과자,홈런볼,100g,630
과자,고래밥,50g,222
과자,카라멜콘과땅콩,100g,583
과자,엄마손파이,100g,557
과자,쵸코하임,100g,537
과자,웨하스,50g,232
과자,쵸코파이,1개,215
과자,과즙젤리,1봉지,172
과자,고구마칩,1접시,220
과자,포테이토,1봉지,270
과자,강냉이(20g),,20
과자,감자칩1봉(108g),,544
과자,고래밥1봉(54g),,232
과자,다이제스티브1개(9g),,40
과자,맛땅콩17알(14g),,80
과자,비스켓1개(8g),,25
과자,새우깡1봉(90g),,494
과자,웨하스1봉(80g),,400
과자,짱구1봉(80g),,423
과자,치토스1봉(128g),,682
과자,크래커 5g,,24
과자,포테이토칩 1봉(108g),,544
과자,칼로리바란스,,165
과자,인디안밥 55g,,290
